No.,Time,T.amb (°C),T.D.REF – normal PV (°C),T.U.REF – normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF – normal PV (V),V.CPV-Hybrid (V),I.REF – normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance – reference (W/m²),Effective irradiance – CPV hybrid (W/m²),Ceff – mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m²),?ele.REF (%),?ele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg·K),Q.CPV-Hybrid (W),?th.CPV-Hybrid (%),?total.REF (%),?total.CPV-Hybrid (%),Pump state,Simulation note
1,08:00:00,29.360,31.450,29.430,31.900,30.480,30.440,0.000,18.276,18.231,0.506,0.727,474.700,676.000,1.424,9.246,13.247,0.553,0.794,22.145,22.096,0.755,0.755,9.248,13.254,0.189,10.307,10.374,0.018,4155.000,0.000,0.000,10.307,10.374,OFF,Clear and warm; Below controller ON threshold; Ceff=1.42x
2,08:00:30,29.380,32.830,30.800,33.940,32.520,30.440,0.000,18.194,18.110,0.506,0.727,475.700,677.900,1.425,9.214,13.175,0.553,0.795,22.055,21.963,0.755,0.755,9.206,13.166,0.189,10.240,10.276,0.018,4155.000,0.000,0.000,10.240,10.276,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
3,08:01:00,29.410,34.120,32.090,35.730,34.310,30.450,0.000,18.118,18.004,0.507,0.728,476.300,679.200,1.426,9.178,13.105,0.554,0.796,21.971,21.846,0.754,0.754,9.186,13.107,0.189,10.204,10.210,0.018,4155.000,0.000,0.000,10.204,10.210,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
4,08:01:30,29.430,35.320,33.280,37.310,35.890,30.450,0.000,18.046,17.910,0.507,0.728,476.800,680.400,1.427,9.144,13.044,0.554,0.796,21.893,21.743,0.754,0.754,9.149,13.038,0.189,10.153,10.139,0.018,4155.000,0.000,0.000,10.153,10.139,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
5,08:02:00,29.460,36.430,34.390,38.700,37.280,30.450,0.000,17.980,17.827,0.507,0.729,477.400,681.800,1.428,9.115,12.996,0.554,0.797,21.821,21.652,0.754,0.753,9.116,12.996,0.189,10.103,10.085,0.018,4155.000,0.000,0.000,10.103,10.085,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
6,08:02:30,29.480,37.450,35.430,39.920,38.500,30.460,0.000,17.919,17.754,0.508,0.730,478.500,683.700,1.429,9.097,12.968,0.555,0.798,21.754,21.573,0.753,0.753,9.103,12.960,0.189,10.065,10.030,0.018,4155.000,0.000,0.000,10.065,10.030,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
7,08:03:00,29.510,38.400,36.380,40.990,39.580,30.460,0.000,17.862,17.690,0.509,0.733,480.100,686.500,1.430,9.092,12.962,0.556,0.801,21.691,21.503,0.754,0.753,9.092,12.967,0.189,10.020,9.994,0.018,4155.000,0.000,0.000,10.020,9.994,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
8,08:03:30,29.530,39.280,37.280,41.940,40.530,30.470,0.000,17.810,17.634,0.511,0.736,482.300,690.100,1.431,9.100,12.979,0.558,0.804,21.633,21.441,0.754,0.753,9.101,12.979,0.189,9.984,9.951,0.018,4155.000,0.000,0.000,9.984,9.951,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
9,08:04:00,29.550,40.110,38.110,42.770,41.380,30.470,0.000,17.760,17.584,0.514,0.740,485.000,694.500,1.432,9.121,13.016,0.561,0.809,21.579,21.386,0.753,0.752,9.129,13.012,0.189,9.959,9.913,0.018,4155.000,0.000,0.000,9.959,9.913,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
10,08:04:30,29.570,40.880,38.900,43.520,42.130,30.480,0.000,17.714,17.539,0.517,0.745,488.200,699.400,1.433,9.150,13.068,0.565,0.814,21.528,21.337,0.752,0.752,9.158,13.067,0.189,9.925,9.885,0.018,4155.000,0.000,0.000,9.925,9.885,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
11,08:05:00,29.590,41.620,39.650,44.190,42.810,30.480,0.000,17.670,17.499,0.520,0.750,491.500,704.600,1.434,9.184,13.128,0.568,0.820,21.480,21.293,0.753,0.752,9.188,13.124,0.189,9.891,9.855,0.018,4155.000,0.000,0.000,9.891,9.855,OFF,Clear and warm; Below controller ON threshold; Ceff=1.43x
