No.,Time,T.amb (°C),T.D.REF – normal PV (°C),T.U.REF – normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF – normal PV (V),V.CPV-Hybrid (V),I.REF – normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance – reference (W/m²),Effective irradiance – CPV hybrid (W/m²),Ceff – mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m²),?ele.REF (%),?ele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg·K),Q.CPV-Hybrid (W),?th.CPV-Hybrid (%),?total.REF (%),?total.CPV-Hybrid (%),Pump state,Simulation note
1,08:00:00,28.870,30.810,28.800,31.170,29.760,30.120,0.000,18.314,18.275,0.454,0.627,426.100,582.800,1.368,8.321,11.453,0.497,0.685,22.187,22.143,0.755,0.755,8.315,11.458,0.189,10.324,10.403,0.018,4155.000,0.000,0.000,10.324,10.403,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
2,08:00:30,28.890,32.100,30.080,33.030,31.610,30.130,0.000,18.238,18.164,0.454,0.627,426.400,583.600,1.369,8.284,11.384,0.496,0.685,22.103,22.022,0.756,0.755,8.280,11.389,0.189,10.274,10.325,0.018,4155.000,0.000,0.000,10.274,10.325,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
3,08:01:00,28.910,33.300,31.270,34.660,33.240,30.130,0.000,18.166,18.067,0.454,0.627,426.800,584.500,1.370,8.252,11.327,0.496,0.685,22.025,21.916,0.755,0.755,8.247,11.328,0.189,10.224,10.254,0.018,4155.000,0.000,0.000,10.224,10.254,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
4,08:01:30,28.930,34.400,32.380,36.090,34.680,30.140,0.000,18.100,17.982,0.455,0.628,427.400,585.800,1.370,8.228,11.286,0.497,0.686,21.952,21.822,0.754,0.754,8.236,11.293,0.189,10.195,10.200,0.018,4155.000,0.000,0.000,10.195,10.200,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
5,08:02:00,28.950,35.430,33.410,37.350,35.940,30.150,0.000,18.039,17.907,0.455,0.629,428.600,587.800,1.371,8.216,11.267,0.498,0.688,21.885,21.740,0.754,0.753,8.208,11.264,0.189,10.132,10.139,0.018,4155.000,0.000,0.000,10.132,10.139,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
6,08:02:30,28.970,36.380,34.370,38.460,37.050,30.160,0.000,17.983,17.841,0.457,0.632,430.400,590.600,1.372,8.218,11.270,0.499,0.690,21.823,21.668,0.755,0.754,8.218,11.276,0.189,10.103,10.101,0.018,4155.000,0.000,0.000,10.103,10.101,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
7,08:03:00,28.990,37.260,35.260,39.440,38.040,30.160,0.000,17.930,17.782,0.459,0.635,432.700,594.200,1.373,8.233,11.293,0.502,0.694,21.765,21.604,0.754,0.753,8.230,11.292,0.189,10.063,10.054,0.018,4155.000,0.000,0.000,10.063,10.054,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
8,08:03:30,29.000,38.090,36.100,40.300,38.910,30.170,0.000,17.880,17.731,0.462,0.639,435.500,598.500,1.374,8.259,11.333,0.505,0.699,21.711,21.547,0.753,0.752,8.261,11.330,0.189,10.036,10.016,0.018,4155.000,0.000,0.000,10.036,10.016,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.37x
9,08:04:00,29.020,38.860,36.880,41.070,39.680,30.180,0.000,17.834,17.685,0.465,0.644,438.600,603.100,1.375,8.290,11.384,0.508,0.703,21.660,21.497,0.753,0.753,8.293,11.389,0.189,10.004,9.992,0.018,4155.000,0.000,0.000,10.004,9.992,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.38x
10,08:04:30,29.040,39.590,37.620,41.750,40.380,30.190,0.000,17.790,17.644,0.468,0.648,441.600,607.700,1.376,8.322,11.437,0.511,0.708,21.612,21.452,0.754,0.753,8.326,11.433,0.189,9.975,9.955,0.018,4155.000,0.000,0.000,9.975,9.955,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.38x
11,08:05:00,29.060,40.290,38.330,42.370,41.000,30.190,0.000,17.748,17.607,0.470,0.652,444.400,611.900,1.377,8.350,11.487,0.514,0.713,21.566,21.411,0.753,0.752,8.342,11.480,0.189,9.931,9.926,0.018,4155.000,0.000,0.000,9.931,9.926,OFF,Hazy with passing clouds; Below controller ON threshold; Ceff=1.38x
