No.,Time,T.amb (°C),T.D.REF – normal PV (°C),T.U.REF – normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF – normal PV (V),V.CPV-Hybrid (V),I.REF – normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance – reference (W/m²),Effective irradiance – CPV hybrid (W/m²),Ceff – mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m²),?ele.REF (%),?ele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg·K),Q.CPV-Hybrid (W),?th.CPV-Hybrid (%),?total.REF (%),?total.CPV-Hybrid (%),Pump state,Simulation note
1,08:00:00,29.250,31.330,29.320,31.810,30.400,30.280,0.000,18.283,18.237,0.517,0.742,484.900,690.600,1.424,9.450,13.537,0.565,0.811,22.153,22.102,0.755,0.755,9.452,13.532,0.189,10.314,10.367,0.018,4155.000,0.000,0.000,10.314,10.367,OFF,Clear sky; Below controller ON threshold; Ceff=1.42x
2,08:00:30,29.270,32.720,30.700,33.860,32.450,30.290,0.000,18.201,18.114,0.517,0.743,485.700,692.100,1.425,9.412,13.455,0.565,0.812,22.062,21.968,0.755,0.754,9.410,13.459,0.189,10.251,10.289,0.018,4155.000,0.000,0.000,10.251,10.289,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
3,08:01:00,29.290,34.010,31.990,35.680,34.260,30.300,0.000,18.124,18.007,0.518,0.744,486.900,694.300,1.426,9.386,13.399,0.566,0.813,21.978,21.850,0.755,0.754,9.388,13.397,0.189,10.202,10.210,0.018,4155.000,0.000,0.000,10.202,10.210,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
4,08:01:30,29.310,35.210,33.190,37.270,35.860,30.320,0.000,18.052,17.912,0.519,0.746,488.600,697.300,1.427,9.375,13.370,0.568,0.816,21.899,21.746,0.754,0.753,9.369,13.362,0.189,10.146,10.139,0.018,4155.000,0.000,0.000,10.146,10.139,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
5,08:02:00,29.320,36.330,34.310,38.670,37.260,30.330,0.000,17.986,17.828,0.521,0.750,491.000,701.100,1.428,9.378,13.367,0.570,0.819,21.827,21.654,0.754,0.754,9.371,13.371,0.189,10.098,10.091,0.018,4155.000,0.000,0.000,10.098,10.091,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
6,08:02:30,29.340,37.360,35.360,39.910,38.510,30.340,0.000,17.924,17.754,0.524,0.754,493.900,705.700,1.429,9.393,13.385,0.573,0.824,21.759,21.573,0.753,0.753,9.392,13.387,0.189,10.062,10.037,0.018,4155.000,0.000,0.000,10.062,10.037,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
7,08:03:00,29.360,38.330,36.330,41.010,39.610,30.350,0.000,17.866,17.689,0.527,0.759,497.100,710.800,1.430,9.416,13.420,0.576,0.829,21.695,21.501,0.754,0.753,9.415,13.426,0.189,10.021,9.994,0.018,4155.000,0.000,0.000,10.021,9.994,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
8,08:03:30,29.370,39.240,37.250,41.980,40.590,30.360,0.000,17.812,17.631,0.530,0.764,500.400,716.000,1.431,9.443,13.463,0.579,0.835,21.636,21.437,0.754,0.752,9.440,13.470,0.189,9.982,9.954,0.018,4155.000,0.000,0.000,9.982,9.954,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
9,08:04:00,29.390,40.090,38.120,42.850,41.470,30.380,0.000,17.761,17.579,0.533,0.768,503.500,720.900,1.432,9.468,13.507,0.583,0.840,21.580,21.381,0.753,0.752,9.467,13.501,0.189,9.948,9.909,0.018,4155.000,0.000,0.000,9.948,9.909,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
10,08:04:30,29.400,40.900,38.930,43.620,42.250,30.390,0.000,17.712,17.533,0.536,0.772,506.200,725.200,1.433,9.487,13.544,0.585,0.844,21.527,21.330,0.753,0.752,9.494,13.535,0.189,9.923,9.875,0.018,4155.000,0.000,0.000,9.923,9.875,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
11,08:05:00,29.410,41.670,39.710,44.320,42.940,30.400,0.000,17.666,17.491,0.538,0.776,508.300,728.700,1.434,9.496,13.570,0.587,0.848,21.476,21.284,0.753,0.752,9.504,13.573,0.189,9.893,9.855,0.018,4155.000,0.000,0.000,9.893,9.855,OFF,Clear sky; Below controller ON threshold; Ceff=1.43x
12,08:05:30,29.430,42.410,40.460,43.630,42.260,30.420,0.758,17.622,17.532,0.539,0.779,509.800,731.300,1.435,9.494,13.658,0.589,0.851,21.428,21.329,0.752,0.752,9.498,13.657,0.189,9.858,9.881,0.018,4155.000,57.636,41.700,9.858,51.581,ON,Clear sky; Hybrid loop operating; Ceff=1.43x
13,08:06:00,29.440,43.130,41.170,43.040,41.670,30.430,0.761,17.579,17.567,0.539,0.781,510.700,733.100,1.436,9.483,13.725,0.590,0.854,21.381,21.368,0.752,0.752,9.475,13.720,0.189,9.816,9.902,0.018,4155.000,57.864,41.762,9.816,51.664,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
14,08:06:30,29.460,43.810,41.850,42.530,41.160,30.440,0.762,17.539,17.598,0.540,0.783,511.200,734.400,1.437,9.465,13.777,0.590,0.856,21.337,21.401,0.752,0.752,9.471,13.779,0.189,9.803,9.927,0.018,4155.000,57.940,41.743,9.803,51.670,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
15,08:07:00,29.470,44.470,42.510,42.090,40.720,30.460,0.763,17.500,17.624,0.540,0.784,511.500,735.300,1.438,9.445,13.820,0.590,0.857,21.294,21.430,0.752,0.752,9.450,13.817,0.189,9.775,9.942,0.018,4155.000,58.016,41.747,9.775,51.689,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
16,08:07:30,29.480,45.110,43.140,41.720,40.340,30.470,0.764,17.462,17.646,0.540,0.786,511.900,736.400,1.438,9.427,13.862,0.590,0.859,21.252,21.454,0.752,0.752,9.429,13.870,0.189,9.746,9.965,0.018,4155.000,58.092,41.739,9.746,51.704,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
17,08:08:00,29.490,45.720,43.740,41.410,40.020,30.480,0.766,17.426,17.665,0.540,0.787,512.600,737.900,1.439,9.416,13.909,0.591,0.861,21.213,21.475,0.751,0.752,9.410,13.902,0.189,9.713,9.968,0.018,4155.000,58.244,41.763,9.713,51.731,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
18,08:08:30,29.510,46.310,44.310,41.140,39.740,30.500,0.769,17.391,17.681,0.541,0.790,513.900,740.200,1.440,9.416,13.968,0.592,0.863,21.175,21.492,0.751,0.753,9.409,13.968,0.189,9.687,9.984,0.018,4155.000,58.472,41.796,9.687,51.781,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
19,08:09:00,29.520,46.870,44.860,40.910,39.510,30.510,0.773,17.358,17.695,0.543,0.793,515.700,743.300,1.441,9.428,14.041,0.594,0.867,21.139,21.507,0.751,0.753,9.425,14.032,0.189,9.670,9.988,0.018,4155.000,58.776,41.838,9.670,51.827,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
20,08:09:30,29.530,47.400,45.380,40.720,39.310,30.530,0.778,17.327,17.706,0.545,0.798,518.200,747.300,1.442,9.451,14.128,0.596,0.872,21.105,21.520,0.751,0.753,9.443,14.129,0.189,9.642,10.004,0.018,4155.000,59.156,41.884,9.642,51.888,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
21,08:10:00,29.550,47.890,45.860,40.560,39.140,30.540,0.784,17.298,17.716,0.548,0.803,521.100,752.000,1.443,9.485,14.226,0.599,0.878,21.073,21.531,0.751,0.753,9.479,14.226,0.189,9.625,10.009,0.018,4155.000,59.613,41.943,9.625,51.952,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
22,08:10:30,29.560,48.350,46.310,40.420,38.990,30.560,0.790,17.271,17.725,0.551,0.809,524.200,757.100,1.444,9.523,14.331,0.603,0.884,21.043,21.541,0.750,0.753,9.516,14.340,0.189,9.605,10.021,0.018,4155.000,60.069,41.979,9.605,52.000,ON,Clear sky; Hybrid loop operating; Ceff=1.44x
23,08:11:00,29.570,48.770,46.740,40.290,38.860,30.570,0.796,17.246,17.733,0.555,0.814,527.400,762.100,1.445,9.563,14.434,0.606,0.890,21.015,21.549,0.751,0.753,9.572,14.435,0.189,9.602,10.022,0.018,4155.000,60.525,42.021,9.602,52.042,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
24,08:11:30,29.580,49.160,47.120,40.170,38.750,30.590,0.802,17.223,17.739,0.557,0.819,530.200,766.800,1.446,9.600,14.529,0.609,0.895,20.990,21.556,0.751,0.753,9.593,14.528,0.189,9.573,10.025,0.018,4155.000,60.981,42.078,9.573,52.102,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
25,08:12:00,29.600,49.510,47.480,40.070,38.640,30.600,0.807,17.202,17.746,0.560,0.823,532.700,770.800,1.447,9.628,14.611,0.612,0.900,20.967,21.563,0.750,0.753,9.633,14.605,0.189,9.568,10.025,0.018,4155.000,61.361,42.120,9.568,52.146,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
26,08:12:30,29.610,49.830,47.800,39.970,38.550,30.610,0.811,17.182,17.751,0.561,0.827,534.500,773.900,1.448,9.648,14.676,0.614,0.904,20.946,21.570,0.750,0.753,9.639,14.680,0.189,9.542,10.036,0.018,4155.000,61.666,42.160,9.542,52.196,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
27,08:13:00,29.620,50.120,48.100,39.880,38.460,30.630,0.814,17.165,17.757,0.563,0.829,535.700,776.200,1.449,9.657,14.724,0.615,0.906,20.927,21.575,0.750,0.753,9.664,14.721,0.189,9.545,10.034,0.018,4155.000,61.894,42.190,9.545,52.224,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
28,08:13:30,29.630,50.380,48.370,39.790,38.390,30.640,0.816,17.149,17.761,0.563,0.831,536.400,777.700,1.450,9.659,14.758,0.616,0.908,20.909,21.581,0.750,0.753,9.655,14.759,0.189,9.524,10.041,0.018,4155.000,62.046,42.212,9.524,52.254,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
29,08:14:00,29.650,50.630,48.630,39.720,38.320,30.660,0.817,17.134,17.766,0.564,0.832,536.700,778.800,1.451,9.655,14.783,0.616,0.909,20.893,21.585,0.750,0.753,9.664,14.781,0.189,9.527,10.042,0.018,4155.000,62.122,42.204,9.527,52.246,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
30,08:14:30,29.660,50.860,48.870,39.650,38.260,30.670,0.818,17.120,17.769,0.564,0.833,537.100,779.700,1.452,9.651,14.805,0.616,0.911,20.878,21.589,0.750,0.753,9.656,14.802,0.189,9.512,10.044,0.018,4155.000,62.198,42.207,9.512,52.251,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
31,08:15:00,29.680,51.090,49.100,39.600,38.210,30.690,0.820,17.106,17.772,0.564,0.835,537.600,781.000,1.453,9.651,14.832,0.617,0.912,20.863,21.593,0.750,0.753,9.648,14.840,0.189,9.495,10.053,0.018,4155.000,62.350,42.240,9.495,52.293,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
32,08:15:30,29.690,51.310,49.330,39.560,38.180,30.700,0.822,17.093,17.774,0.565,0.837,538.500,782.900,1.454,9.658,14.870,0.618,0.914,20.848,21.595,0.750,0.753,9.658,14.877,0.189,9.489,10.054,0.018,4155.000,62.502,42.240,9.489,52.294,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
33,08:16:00,29.700,51.540,49.560,39.540,38.160,30.710,0.826,17.079,17.776,0.567,0.839,540.000,785.600,1.455,9.676,14.922,0.619,0.917,20.833,21.596,0.750,0.754,9.684,14.914,0.189,9.488,10.045,0.018,4155.000,62.806,42.300,9.488,52.344,ON,Clear sky; Hybrid loop operating; Ceff=1.45x
34,08:16:30,29.720,51.770,49.800,39.540,38.150,30.730,0.830,17.065,17.776,0.569,0.843,542.200,789.200,1.456,9.704,14.992,0.621,0.922,20.818,21.597,0.751,0.753,9.710,14.985,0.189,9.475,10.046,0.018,4155.000,63.110,42.311,9.475,52.357,ON,Clear sky; Hybrid loop operating; Ceff=1.46x
