No.,Time,T.amb (°C),T.D.REF – normal PV (°C),T.U.REF – normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF – normal PV (V),V.CPV-Hybrid (V),I.REF – normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance – reference (W/m²),Effective irradiance – CPV hybrid (W/m²),Ceff – mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m²),?ele.REF (%),?ele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg·K),Q.CPV-Hybrid (W),?th.CPV-Hybrid (%),?total.REF (%),?total.CPV-Hybrid (%),Pump state,Simulation note
1,08:00:00,28.410,30.500,28.470,30.860,29.430,29.990,0.000,18.333,18.294,0.465,0.648,436.000,602.500,1.382,8.525,11.856,0.508,0.708,22.207,22.164,0.756,0.756,8.525,11.855,0.189,10.345,10.410,0.018,4155.000,0.000,0.000,10.345,10.410,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.38x
2,08:00:30,28.430,31.800,29.760,32.740,31.310,30.000,0.000,18.256,18.182,0.466,0.650,437.400,604.800,1.383,8.508,11.811,0.509,0.710,22.123,22.042,0.756,0.755,8.507,11.818,0.189,10.291,10.339,0.018,4155.000,0.000,0.000,10.291,10.339,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.38x
3,08:01:00,28.440,33.000,30.970,34.400,32.970,30.020,0.000,18.184,18.083,0.468,0.652,439.300,607.900,1.384,8.505,11.793,0.511,0.713,22.044,21.933,0.755,0.754,8.510,11.790,0.189,10.250,10.262,0.018,4155.000,0.000,0.000,10.250,10.262,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.38x
4,08:01:30,28.460,34.110,32.080,35.860,34.440,30.030,0.000,18.118,17.996,0.470,0.656,441.800,611.800,1.385,8.515,11.798,0.514,0.716,21.972,21.838,0.754,0.755,8.515,11.805,0.189,10.198,10.210,0.018,4155.000,0.000,0.000,10.198,10.210,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.38x
5,08:02:00,28.470,35.150,33.130,37.150,35.730,30.050,0.000,18.056,17.919,0.473,0.660,444.700,616.200,1.386,8.535,11.821,0.517,0.721,21.904,21.754,0.754,0.754,8.540,11.827,0.189,10.161,10.155,0.018,4155.000,0.000,0.000,10.161,10.155,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
6,08:02:30,28.480,36.120,34.100,38.280,36.870,30.060,0.000,17.998,17.851,0.476,0.664,447.800,620.900,1.386,8.560,11.856,0.520,0.726,21.840,21.679,0.754,0.753,8.567,11.853,0.189,10.122,10.101,0.018,4155.000,0.000,0.000,10.122,10.101,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
7,08:03:00,28.490,37.020,35.010,39.290,37.890,30.080,0.000,17.944,17.791,0.478,0.668,450.800,625.400,1.387,8.586,11.893,0.523,0.731,21.781,21.613,0.754,0.753,8.577,11.884,0.189,10.067,10.054,0.018,4155.000,0.000,0.000,10.067,10.054,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
8,08:03:30,28.510,37.870,35.870,40.180,38.790,30.090,0.000,17.894,17.738,0.481,0.672,453.500,629.500,1.388,8.606,11.927,0.526,0.735,21.726,21.555,0.753,0.753,8.607,11.920,0.189,10.042,10.019,0.018,4155.000,0.000,0.000,10.042,10.019,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
9,08:04:00,28.520,38.670,36.680,40.980,39.590,30.110,0.000,17.846,17.690,0.483,0.676,455.600,632.900,1.389,8.618,11.951,0.528,0.738,21.673,21.503,0.753,0.753,8.620,11.958,0.189,10.010,9.997,0.018,4155.000,0.000,0.000,10.010,9.997,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
10,08:04:30,28.530,39.430,37.450,41.690,40.300,30.120,0.000,17.800,17.648,0.484,0.678,457.100,635.400,1.390,8.619,11.963,0.529,0.741,21.623,21.456,0.754,0.752,8.615,11.965,0.189,9.972,9.964,0.018,4155.000,0.000,0.000,9.972,9.964,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
11,08:05:00,28.540,40.150,38.180,42.320,40.940,30.140,0.000,17.757,17.610,0.485,0.679,458.000,637.100,1.391,8.610,11.963,0.530,0.742,21.576,21.415,0.753,0.753,8.612,11.957,0.189,9.949,9.930,0.018,4155.000,0.000,0.000,9.949,9.930,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
12,08:05:30,28.560,40.850,38.880,42.890,41.510,30.150,0.000,17.715,17.576,0.485,0.680,458.400,638.100,1.392,8.593,11.954,0.530,0.743,21.530,21.378,0.753,0.753,8.592,11.952,0.189,9.917,9.910,0.018,4155.000,0.000,0.000,9.917,9.910,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
13,08:06:00,28.570,41.520,39.540,43.400,42.020,30.160,0.000,17.676,17.546,0.485,0.681,458.600,638.700,1.393,8.572,11.940,0.530,0.744,21.487,21.344,0.753,0.752,8.573,11.949,0.189,9.891,9.898,0.018,4155.000,0.000,0.000,9.891,9.898,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
14,08:06:30,28.580,42.160,40.180,43.870,42.490,30.180,0.000,17.637,17.518,0.485,0.681,458.700,639.400,1.394,8.552,11.928,0.530,0.744,21.445,21.314,0.752,0.752,8.554,11.930,0.189,9.867,9.872,0.018,4155.000,0.000,0.000,9.867,9.872,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
15,08:07:00,28.590,42.790,40.800,44.290,42.900,30.190,0.000,17.601,17.493,0.485,0.682,459.100,640.400,1.395,8.538,11.926,0.530,0.745,21.404,21.286,0.753,0.752,8.536,11.930,0.189,9.838,9.857,0.018,4155.000,0.000,0.000,9.838,9.857,OFF,Moderate coastal haze; Below controller ON threshold; Ceff=1.39x
16,08:07:30,28.600,43.390,41.390,43.470,42.070,30.210,0.651,17.565,17.542,0.486,0.684,460.000,642.000,1.396,8.532,11.998,0.531,0.747,21.365,21.340,0.752,0.753,8.537,11.999,0.189,9.819,9.889,0.018,4155.000,49.500,40.795,9.819,50.684,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
17,08:08:00,28.610,43.960,41.960,42.760,41.350,30.220,0.654,17.531,17.585,0.487,0.687,461.400,644.400,1.397,8.539,12.080,0.532,0.751,21.328,21.387,0.753,0.752,8.538,12.081,0.189,9.790,9.919,0.018,4155.000,49.728,40.830,9.790,50.750,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
18,08:08:30,28.630,44.510,42.490,42.140,40.720,30.230,0.657,17.499,17.622,0.489,0.691,463.500,647.800,1.398,8.558,12.173,0.534,0.755,21.293,21.428,0.753,0.752,8.557,12.177,0.189,9.768,9.946,0.018,4155.000,49.956,40.802,9.768,50.748,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
19,08:09:00,28.640,45.040,43.010,41.600,40.180,30.250,0.662,17.468,17.654,0.492,0.695,466.100,651.800,1.399,8.587,12.277,0.537,0.760,21.259,21.463,0.752,0.753,8.594,12.270,0.189,9.756,9.960,0.018,4155.000,50.336,40.861,9.756,50.820,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
20,08:09:30,28.650,45.530,43.490,41.130,39.700,30.260,0.668,17.439,17.682,0.494,0.700,469.000,656.300,1.399,8.623,12.386,0.540,0.766,21.227,21.494,0.752,0.752,8.615,12.377,0.189,9.719,9.978,0.018,4155.000,50.792,40.948,9.719,50.927,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
21,08:10:00,28.660,45.980,43.940,40.720,39.290,30.280,0.673,17.412,17.707,0.497,0.706,472.000,661.000,1.400,8.661,12.495,0.544,0.771,21.198,21.521,0.751,0.753,8.654,12.501,0.189,9.701,10.007,0.018,4155.000,51.173,40.961,9.701,50.968,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
22,08:10:30,28.680,46.410,44.350,40.360,38.920,30.290,0.678,17.387,17.729,0.500,0.711,474.800,665.400,1.401,8.698,12.598,0.547,0.777,21.170,21.545,0.751,0.753,8.694,12.605,0.189,9.688,10.023,0.018,4155.000,51.553,40.993,9.688,51.016,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
23,08:11:00,28.690,46.790,44.740,40.040,38.600,30.300,0.683,17.364,17.748,0.503,0.715,477.200,669.200,1.402,8.728,12.687,0.549,0.781,21.145,21.566,0.752,0.753,8.734,12.690,0.189,9.684,10.033,0.018,4155.000,51.933,41.061,9.684,51.094,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
24,08:11:30,28.700,47.140,45.090,39.750,38.310,30.310,0.687,17.343,17.765,0.504,0.718,479.100,672.300,1.403,8.749,12.760,0.551,0.785,21.122,21.585,0.752,0.753,8.741,12.755,0.189,9.653,10.038,0.018,4155.000,52.237,41.111,9.653,51.149,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
25,08:12:00,28.720,47.450,45.410,39.480,38.050,30.330,0.689,17.325,17.780,0.506,0.721,480.400,674.500,1.404,8.760,12.816,0.553,0.788,21.102,21.602,0.751,0.753,8.766,12.819,0.189,9.655,10.056,0.018,4155.000,52.389,41.096,9.655,51.152,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.4x
26,08:12:30,28.730,47.730,45.700,39.250,37.820,30.340,0.691,17.308,17.794,0.506,0.722,481.100,675.900,1.405,8.762,12.855,0.553,0.790,21.083,21.617,0.752,0.753,8.758,12.847,0.189,9.632,10.057,0.018,4155.000,52.541,41.130,9.632,51.187,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.41x
27,08:13:00,28.740,47.980,45.960,39.030,37.620,30.350,0.692,17.292,17.807,0.506,0.724,481.400,676.800,1.406,8.758,12.883,0.554,0.791,21.066,21.631,0.750,0.753,8.750,12.892,0.189,9.617,10.079,0.018,4155.000,52.617,41.134,9.617,51.213,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.41x
28,08:13:30,28.760,48.220,46.210,38.840,37.430,30.360,0.693,17.278,17.818,0.507,0.724,481.500,677.400,1.407,8.752,12.906,0.554,0.792,21.051,21.643,0.750,0.753,8.760,12.900,0.189,9.626,10.076,0.018,4155.000,52.693,41.157,9.626,51.233,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.41x
29,08:14:00,28.770,48.440,46.440,38.670,37.270,30.370,0.694,17.265,17.828,0.507,0.725,481.800,678.200,1.408,8.748,12.930,0.554,0.793,21.036,21.654,0.751,0.753,8.753,12.925,0.189,9.613,10.084,0.018,4155.000,52.769,41.168,9.613,51.252,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.41x
30,08:14:30,28.790,48.650,46.660,38.520,37.130,30.390,0.695,17.252,17.836,0.507,0.727,482.400,679.600,1.409,8.752,12.963,0.554,0.794,21.022,21.663,0.751,0.754,8.747,12.967,0.189,9.594,10.095,0.018,4155.000,52.845,41.143,9.594,51.238,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.41x
31,08:15:00,28.800,48.860,46.870,38.400,37.020,30.400,0.698,17.239,17.843,0.508,0.729,483.500,681.600,1.410,8.765,13.009,0.556,0.797,21.008,21.671,0.750,0.753,8.757,13.008,0.189,9.583,10.097,0.018,4155.000,53.073,41.199,9.583,51.296,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.41x
32,08:15:30,28.820,49.070,47.090,38.310,36.920,30.410,0.701,17.226,17.849,0.510,0.732,485.300,684.600,1.411,8.789,13.070,0.558,0.800,20.994,21.677,0.750,0.754,8.785,13.065,0.189,9.578,10.098,0.018,4155.000,53.302,41.195,9.578,51.292,ON,Moderate coastal haze; Hybrid loop operating; Ceff=1.41x
