No.,Time,T.amb (°C),T.D.REF – normal PV (°C),T.U.REF – normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF – normal PV (V),V.CPV-Hybrid (V),I.REF – normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance – reference (W/m²),Effective irradiance – CPV hybrid (W/m²),Ceff – mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m²),?ele.REF (%),?ele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg·K),Q.CPV-Hybrid (W),?th.CPV-Hybrid (%),?total.REF (%),?total.CPV-Hybrid (%),Pump state,Simulation note
1,08:00:00,29.560,31.850,29.800,32.220,30.790,30.620,0.000,18.253,18.213,0.499,0.710,468.300,660.300,1.410,9.108,12.923,0.545,0.775,22.120,22.075,0.756,0.755,9.108,12.931,0.189,10.291,10.362,0.018,4155.000,0.000,0.000,10.291,10.362,OFF,Clear and hot; Below controller ON threshold; Ceff=1.41x
2,08:00:30,29.570,33.190,31.140,34.210,32.770,30.640,0.000,18.174,18.095,0.501,0.713,470.700,664.200,1.411,9.106,12.896,0.548,0.779,22.033,21.946,0.754,0.754,9.105,12.902,0.189,10.235,10.277,0.018,4155.000,0.000,0.000,10.235,10.277,OFF,Clear and hot; Below controller ON threshold; Ceff=1.41x
3,08:01:00,29.580,34.430,32.390,35.960,34.520,30.650,0.000,18.100,17.991,0.504,0.717,473.600,668.700,1.412,9.116,12.892,0.550,0.783,21.951,21.832,0.755,0.754,9.122,12.900,0.189,10.191,10.207,0.018,4155.000,0.000,0.000,10.191,10.207,OFF,Clear and hot; Below controller ON threshold; Ceff=1.41x
4,08:01:30,29.600,35.590,33.550,37.500,36.070,30.660,0.000,18.030,17.899,0.507,0.721,476.800,673.600,1.413,9.134,12.905,0.554,0.788,21.876,21.731,0.754,0.754,9.141,12.905,0.189,10.144,10.137,0.018,4155.000,0.000,0.000,10.144,10.137,OFF,Clear and hot; Below controller ON threshold; Ceff=1.41x
5,08:02:00,29.610,36.670,34.630,38.860,37.440,30.680,0.000,17.966,17.818,0.510,0.726,480.000,678.600,1.414,9.155,12.927,0.557,0.793,21.805,21.642,0.754,0.753,9.163,12.936,0.189,10.100,10.086,0.018,4155.000,0.000,0.000,10.100,10.086,OFF,Clear and hot; Below controller ON threshold; Ceff=1.41x
6,08:02:30,29.620,37.670,35.650,40.060,38.640,30.690,0.000,17.906,17.746,0.512,0.730,482.900,683.100,1.415,9.172,12.950,0.560,0.798,21.739,21.564,0.753,0.753,9.168,12.955,0.189,10.045,10.034,0.018,4155.000,0.000,0.000,10.045,10.034,OFF,Clear and hot; Below controller ON threshold; Ceff=1.41x
7,08:03:00,29.640,38.610,36.600,41.120,39.720,30.700,0.000,17.850,17.682,0.514,0.733,485.300,687.100,1.416,9.183,12.967,0.562,0.801,21.677,21.494,0.754,0.753,9.175,12.961,0.189,10.003,9.981,0.018,4155.000,0.000,0.000,10.003,9.981,OFF,Clear and hot; Below controller ON threshold; Ceff=1.42x
8,08:03:30,29.650,39.500,37.500,42.070,40.670,30.710,0.000,17.797,17.626,0.516,0.736,487.200,690.100,1.417,9.184,12.973,0.564,0.804,21.619,21.432,0.753,0.753,9.183,12.973,0.189,9.973,9.946,0.018,4155.000,0.000,0.000,9.973,9.946,OFF,Clear and hot; Below controller ON threshold; Ceff=1.42x
9,08:04:00,29.660,40.330,38.340,42.900,41.510,30.720,0.000,17.747,17.576,0.517,0.738,488.400,692.300,1.418,9.175,12.969,0.565,0.806,21.564,21.377,0.753,0.753,9.175,12.971,0.189,9.940,9.913,0.018,4155.000,0.000,0.000,9.940,9.913,OFF,Clear and hot; Below controller ON threshold; Ceff=1.42x
10,08:04:30,29.680,41.130,39.140,43.650,42.260,30.740,0.000,17.699,17.531,0.517,0.739,489.100,693.800,1.419,9.158,12.956,0.566,0.808,21.512,21.329,0.752,0.752,9.150,12.955,0.189,9.899,9.880,0.018,4155.000,0.000,0.000,9.899,9.880,OFF,Clear and hot; Below controller ON threshold; Ceff=1.42x
11,08:05:00,29.690,41.890,39.910,44.310,42.930,30.750,0.000,17.654,17.492,0.517,0.740,489.400,694.700,1.419,9.136,12.937,0.566,0.808,21.463,21.285,0.752,0.752,9.127,12.944,0.189,9.868,9.859,0.018,4155.000,0.000,0.000,9.868,9.859,OFF,Clear and hot; Below controller ON threshold; Ceff=1.42x
12,08:05:30,29.700,42.620,40.640,43.640,42.260,30.760,0.715,17.610,17.532,0.517,0.741,489.700,695.500,1.420,9.113,12.989,0.566,0.810,21.415,21.329,0.752,0.752,9.104,12.991,0.189,9.837,9.883,0.018,4155.000,54.366,41.359,9.837,51.242,ON,Clear and hot; Hybrid loop operating; Ceff=1.42x
13,08:06:00,29.720,43.320,41.330,43.060,41.670,30.770,0.716,17.569,17.566,0.518,0.742,490.100,696.600,1.421,9.094,13.040,0.566,0.811,21.369,21.367,0.752,0.753,9.101,13.034,0.189,9.825,9.900,0.018,4155.000,54.442,41.351,9.825,51.251,ON,Clear and hot; Hybrid loop operating; Ceff=1.42x
14,08:06:30,29.730,43.990,42.000,42.560,41.170,30.780,0.718,17.529,17.596,0.518,0.744,490.900,698.200,1.422,9.083,13.098,0.566,0.814,21.326,21.399,0.752,0.752,9.080,13.091,0.189,9.787,9.921,0.018,4155.000,54.594,41.372,9.787,51.293,ON,Clear and hot; Hybrid loop operating; Ceff=1.42x
15,08:07:00,29.740,44.650,42.650,42.140,40.740,30.790,0.721,17.490,17.622,0.519,0.747,492.300,700.700,1.423,9.084,13.167,0.568,0.817,21.283,21.427,0.751,0.752,9.077,13.164,0.189,9.756,9.940,0.018,4155.000,54.822,41.396,9.756,51.336,ON,Clear and hot; Hybrid loop operating; Ceff=1.42x
16,08:07:30,29.760,45.270,43.260,41.780,40.370,30.800,0.725,17.453,17.643,0.521,0.751,494.300,704.000,1.424,9.097,13.250,0.570,0.821,21.243,21.451,0.751,0.752,9.093,13.250,0.189,9.733,9.958,0.018,4155.000,55.126,41.431,9.733,51.389,ON,Clear and hot; Hybrid loop operating; Ceff=1.42x
