No.,Time,T.amb (°C),T.D.REF – normal PV (°C),T.U.REF – normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF – normal PV (V),V.CPV-Hybrid (V),I.REF – normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance – reference (W/m²),Effective irradiance – CPV hybrid (W/m²),Ceff – mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m²),?ele.REF (%),?ele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg·K),Q.CPV-Hybrid (W),?th.CPV-Hybrid (%),?total.REF (%),?total.CPV-Hybrid (%),Pump state,Simulation note
1,08:00:00,28.890,31.200,29.150,31.480,30.040,30.390,0.000,18.292,18.257,0.460,0.635,431.500,590.200,1.368,8.414,11.584,0.503,0.693,22.162,22.124,0.755,0.756,8.414,11.593,0.189,10.318,10.393,0.018,4155.000,0.000,0.000,10.318,10.393,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
2,08:00:30,28.900,32.450,30.400,33.320,31.880,30.390,0.000,18.217,18.148,0.463,0.638,434.400,594.600,1.369,8.429,11.585,0.506,0.698,22.081,22.004,0.754,0.754,8.434,11.578,0.189,10.273,10.303,0.018,4155.000,0.000,0.000,10.273,10.303,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
3,08:01:00,28.910,33.620,31.570,34.930,33.500,30.400,0.000,18.148,18.052,0.465,0.642,437.500,599.100,1.370,8.448,11.598,0.509,0.702,22.004,21.899,0.754,0.754,8.439,11.589,0.189,10.206,10.235,0.018,4155.000,0.000,0.000,10.206,10.235,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
4,08:01:30,28.930,34.700,32.660,36.360,34.930,30.410,0.000,18.083,17.967,0.468,0.646,440.300,603.500,1.370,8.466,11.614,0.512,0.706,21.934,21.806,0.754,0.754,8.463,11.607,0.189,10.170,10.176,0.018,4155.000,0.000,0.000,10.170,10.176,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
5,08:02:00,28.940,35.700,33.680,37.610,36.190,30.420,0.000,18.023,17.892,0.470,0.650,442.800,607.200,1.371,8.479,11.627,0.514,0.710,21.868,21.723,0.754,0.754,8.471,11.630,0.189,10.122,10.134,0.018,4155.000,0.000,0.000,10.122,10.134,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
6,08:02:30,28.950,36.640,34.630,38.720,37.310,30.430,0.000,17.967,17.826,0.472,0.653,444.700,610.300,1.372,8.482,11.632,0.516,0.713,21.806,21.651,0.754,0.754,8.480,11.640,0.189,10.090,10.092,0.018,4155.000,0.000,0.000,10.090,10.092,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
7,08:03:00,28.970,37.530,35.520,39.690,38.290,30.430,0.000,17.914,17.767,0.473,0.654,446.000,612.400,1.373,8.476,11.627,0.517,0.715,21.748,21.587,0.754,0.753,8.473,11.620,0.189,10.052,10.039,0.018,4155.000,0.000,0.000,10.052,10.039,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
8,08:03:30,28.980,38.350,36.360,40.560,39.170,30.440,0.000,17.864,17.715,0.474,0.655,446.700,613.800,1.374,8.461,11.611,0.518,0.716,21.694,21.530,0.753,0.753,8.468,11.603,0.189,10.030,10.002,0.018,4155.000,0.000,0.000,10.030,10.002,OFF,Variable clouds; Below controller ON threshold; Ceff=1.37x
9,08:04:00,28.990,39.140,37.160,41.330,39.940,30.450,0.000,17.817,17.670,0.474,0.656,447.000,614.600,1.375,8.439,11.589,0.518,0.717,21.642,21.480,0.753,0.752,8.445,11.592,0.189,9.996,9.979,0.018,4155.000,0.000,0.000,9.996,9.979,OFF,Variable clouds; Below controller ON threshold; Ceff=1.38x
10,08:04:30,29.010,39.890,37.910,42.010,40.630,30.460,0.000,17.773,17.629,0.473,0.656,447.100,615.200,1.376,8.415,11.567,0.517,0.717,21.593,21.435,0.754,0.753,8.407,11.565,0.189,9.948,9.946,0.018,4155.000,0.000,0.000,9.948,9.946,OFF,Variable clouds; Below controller ON threshold; Ceff=1.38x
11,08:05:00,29.020,40.610,38.630,42.620,41.240,30.460,0.000,17.730,17.592,0.473,0.657,447.300,615.900,1.377,8.394,11.550,0.517,0.718,21.546,21.395,0.754,0.752,8.386,11.558,0.189,9.920,9.929,0.018,4155.000,0.000,0.000,9.920,9.929,OFF,Variable clouds; Below controller ON threshold; Ceff=1.38x
12,08:05:30,29.030,41.300,39.320,43.180,41.790,30.470,0.000,17.689,17.559,0.474,0.657,447.800,617.000,1.378,8.379,11.544,0.518,0.719,21.501,21.359,0.752,0.752,8.385,11.536,0.189,9.907,9.893,0.018,4155.000,0.000,0.000,9.907,9.893,OFF,Variable clouds; Below controller ON threshold; Ceff=1.38x
13,08:06:00,29.050,41.960,39.980,43.680,42.290,30.470,0.000,17.649,17.529,0.475,0.659,448.800,618.800,1.379,8.375,11.554,0.519,0.720,21.458,21.326,0.752,0.752,8.383,11.552,0.189,9.883,9.877,0.018,4155.000,0.000,0.000,9.883,9.877,OFF,Variable clouds; Below controller ON threshold; Ceff=1.38x
