No.,Time,T.amb (°C),T.D.REF – normal PV (°C),T.U.REF – normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF – normal PV (V),V.CPV-Hybrid (V),I.REF – normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance – reference (W/m²),Effective irradiance – CPV hybrid (W/m²),Ceff – mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m²),?ele.REF (%),?ele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg·K),Q.CPV-Hybrid (W),?th.CPV-Hybrid (%),?total.REF (%),?total.CPV-Hybrid (%),Pump state,Simulation note
1,08:00:00,28.520,30.890,28.850,31.250,29.810,30.190,0.000,18.310,18.271,0.487,0.685,456.600,637.400,1.396,8.914,12.523,0.532,0.749,22.182,22.139,0.755,0.755,8.917,12.516,0.189,10.333,10.389,0.018,4155.000,0.000,0.000,10.333,10.389,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
2,08:00:30,28.540,32.170,30.140,33.160,31.730,30.200,0.000,18.234,18.157,0.490,0.689,459.700,642.100,1.397,8.928,12.519,0.535,0.754,22.098,22.014,0.755,0.754,8.935,12.510,0.189,10.284,10.309,0.018,4155.000,0.000,0.000,10.284,10.309,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
3,08:01:00,28.550,33.360,31.340,34.840,33.420,30.200,0.000,18.162,18.057,0.492,0.693,462.400,646.300,1.398,8.938,12.516,0.538,0.758,22.020,21.905,0.754,0.754,8.936,12.514,0.189,10.225,10.244,0.018,4155.000,0.000,0.000,10.225,10.244,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
4,08:01:30,28.570,34.470,32.450,36.320,34.900,30.210,0.000,18.096,17.968,0.494,0.696,464.600,649.800,1.399,8.940,12.508,0.540,0.761,21.948,21.808,0.754,0.754,8.939,12.506,0.189,10.180,10.183,0.018,4155.000,0.000,0.000,10.180,10.183,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
5,08:02:00,28.580,35.500,33.500,37.620,36.220,30.210,0.000,18.035,17.891,0.495,0.698,466.200,652.500,1.400,8.933,12.493,0.541,0.763,21.880,21.722,0.755,0.754,8.927,12.488,0.189,10.132,10.126,0.018,4155.000,0.000,0.000,10.132,10.126,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
6,08:02:30,28.590,36.470,34.470,38.770,37.380,30.220,0.000,17.977,17.822,0.496,0.700,467.200,654.300,1.401,8.917,12.469,0.542,0.765,21.817,21.647,0.754,0.753,8.917,12.475,0.189,10.098,10.088,0.018,4155.000,0.000,0.000,10.098,10.088,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
7,08:03:00,28.610,37.370,35.390,39.790,38.400,30.220,0.000,17.923,17.761,0.496,0.700,467.700,655.500,1.402,8.894,12.439,0.542,0.765,21.757,21.580,0.754,0.753,8.890,12.433,0.189,10.057,10.035,0.018,4155.000,0.000,0.000,10.057,10.035,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
8,08:03:30,28.620,38.230,36.260,40.680,39.300,30.230,0.000,17.871,17.708,0.496,0.701,468.000,656.300,1.402,8.868,12.408,0.542,0.766,21.701,21.522,0.754,0.753,8.864,12.413,0.189,10.021,10.007,0.018,4155.000,0.000,0.000,10.021,10.007,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
9,08:04:00,28.640,39.040,37.080,41.480,40.110,30.230,0.000,17.823,17.660,0.496,0.701,468.200,657.100,1.403,8.842,12.381,0.542,0.766,21.648,21.469,0.754,0.753,8.840,12.380,0.189,9.990,9.968,0.018,4155.000,0.000,0.000,9.990,9.968,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
10,08:04:30,28.660,39.820,37.860,42.200,40.830,30.230,0.000,17.776,17.617,0.496,0.702,468.700,658.200,1.404,8.823,12.365,0.542,0.767,21.597,21.423,0.754,0.753,8.817,12.367,0.189,9.953,9.941,0.018,4155.000,0.000,0.000,9.953,9.941,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.4x
11,08:05:00,28.670,40.570,38.610,42.840,41.470,30.240,0.000,17.732,17.579,0.497,0.703,469.600,660.000,1.405,8.814,12.365,0.543,0.769,21.548,21.381,0.753,0.752,8.813,12.358,0.189,9.929,9.907,0.018,4155.000,0.000,0.000,9.929,9.907,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.41x
12,08:05:30,28.690,41.290,39.320,43.430,42.060,30.240,0.000,17.689,17.544,0.498,0.706,471.200,662.600,1.406,8.817,12.384,0.545,0.771,21.501,21.342,0.752,0.753,8.809,12.386,0.189,9.892,9.891,0.018,4155.000,0.000,0.000,9.892,9.891,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.41x
13,08:06:00,28.710,41.990,40.020,43.960,42.590,30.250,0.000,17.648,17.512,0.500,0.709,473.300,666.100,1.407,8.832,12.421,0.547,0.775,21.456,21.308,0.753,0.752,8.824,12.416,0.189,9.864,9.862,0.018,4155.000,0.000,0.000,9.864,9.862,OFF,Clear with late haze; Below controller ON threshold; Ceff=1.41x
14,08:06:30,28.720,42.660,40.680,43.210,41.830,30.250,0.684,17.608,17.557,0.503,0.714,476.000,670.300,1.408,8.857,12.540,0.550,0.781,21.412,21.357,0.752,0.752,8.857,12.536,0.189,9.845,9.895,0.018,4155.000,52.009,41.053,9.845,50.948,ON,Clear with late haze; Hybrid loop operating; Ceff=1.41x
15,08:07:00,28.740,43.310,41.320,42.560,41.170,30.260,0.690,17.569,17.596,0.506,0.720,479.100,675.100,1.409,8.890,12.664,0.553,0.787,21.370,21.399,0.752,0.752,8.890,12.669,0.189,9.818,9.929,0.018,4155.000,52.465,41.119,9.818,51.048,ON,Clear with late haze; Hybrid loop operating; Ceff=1.41x
16,08:07:30,28.760,43.930,41.930,42.000,40.610,30.260,0.696,17.533,17.629,0.509,0.725,482.200,680.000,1.410,8.926,12.785,0.556,0.793,21.330,21.436,0.753,0.752,8.924,12.781,0.189,9.792,9.945,0.018,4155.000,52.921,41.178,9.792,51.122,ON,Clear with late haze; Hybrid loop operating; Ceff=1.41x
