No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
1,08:00:00,28.870,31.040,29.020,31.480,30.060,30.330,0.000,18.301,18.257,0.509,0.724,477.600,673.400,1.410,9.318,13.218,0.556,0.791,22.172,22.124,0.756,0.755,9.315,13.218,0.189,10.320,10.386,0.018,4155.000,0.000,0.000,10.320,10.386,OFF,Mostly clear; Below controller ON threshold; Ceff=1.41x
2,08:00:30,28.900,32.450,30.420,33.520,32.100,30.340,0.000,18.217,18.135,0.512,0.728,480.600,678.000,1.411,9.323,13.200,0.559,0.796,22.080,21.991,0.755,0.754,9.327,13.202,0.189,10.268,10.303,0.018,4155.000,0.000,0.000,10.268,10.303,OFF,Mostly clear; Below controller ON threshold; Ceff=1.41x
3,08:01:00,28.930,33.770,31.730,35.330,33.900,30.350,0.000,18.139,18.028,0.514,0.731,482.900,681.800,1.412,9.320,13.178,0.562,0.799,21.994,21.873,0.754,0.754,9.323,13.178,0.189,10.215,10.227,0.018,4155.000,0.000,0.000,10.215,10.227,OFF,Mostly clear; Below controller ON threshold; Ceff=1.41x
4,08:01:30,28.960,35.000,32.960,36.930,35.490,30.360,0.000,18.066,17.933,0.515,0.733,484.700,684.800,1.413,9.307,13.149,0.563,0.801,21.914,21.768,0.754,0.754,9.304,13.145,0.189,10.156,10.156,0.018,4155.000,0.000,0.000,10.156,10.156,OFF,Mostly clear; Below controller ON threshold; Ceff=1.41x
5,08:02:00,28.990,36.150,34.100,38.340,36.900,30.370,0.000,17.997,17.849,0.516,0.735,485.900,686.900,1.414,9.287,13.114,0.564,0.803,21.839,21.677,0.754,0.753,9.286,13.119,0.189,10.112,10.105,0.018,4155.000,0.000,0.000,10.112,10.105,OFF,Mostly clear; Below controller ON threshold; Ceff=1.41x
6,08:02:30,29.020,37.210,35.160,39.580,38.140,30.390,0.000,17.934,17.775,0.516,0.736,486.600,688.400,1.415,9.261,13.077,0.564,0.804,21.770,21.596,0.754,0.753,9.254,13.082,0.189,10.062,10.055,0.018,4155.000,0.000,0.000,10.062,10.055,OFF,Mostly clear; Below controller ON threshold; Ceff=1.41x
7,08:03:00,29.050,38.200,36.150,40.670,39.230,30.400,0.000,17.876,17.710,0.517,0.736,487.200,689.700,1.416,9.235,13.042,0.565,0.805,21.706,21.525,0.753,0.753,9.242,13.035,0.189,10.037,9.999,0.018,4155.000,0.000,0.000,10.037,9.999,OFF,Mostly clear; Below controller ON threshold; Ceff=1.42x
8,08:03:30,29.080,39.100,37.060,41.620,40.190,30.410,0.000,17.821,17.653,0.517,0.737,487.900,691.100,1.417,9.213,13.017,0.565,0.806,21.646,21.462,0.753,0.752,9.213,13.010,0.189,9.991,9.961,0.018,4155.000,0.000,0.000,9.991,9.961,OFF,Mostly clear; Below controller ON threshold; Ceff=1.42x
9,08:04:00,29.100,39.940,37.910,42.460,41.040,30.420,0.000,17.771,17.603,0.518,0.739,488.800,693.000,1.418,9.200,13.006,0.566,0.807,21.591,21.407,0.753,0.753,9.205,13.009,0.189,9.964,9.932,0.018,4155.000,0.000,0.000,9.964,9.932,OFF,Mostly clear; Below controller ON threshold; Ceff=1.42x
10,08:04:30,29.130,40.720,38.700,43.200,41.780,30.430,0.000,17.724,17.559,0.519,0.741,490.300,695.600,1.419,9.198,13.014,0.567,0.810,21.540,21.359,0.753,0.752,9.199,13.011,0.189,9.927,9.897,0.018,4155.000,0.000,0.000,9.927,9.897,OFF,Mostly clear; Below controller ON threshold; Ceff=1.42x
11,08:05:00,29.160,41.460,39.440,43.860,42.450,30.440,0.000,17.680,17.520,0.521,0.744,492.400,699.000,1.419,9.209,13.042,0.569,0.814,21.492,21.316,0.753,0.752,9.211,13.035,0.189,9.898,9.867,0.018,4155.000,0.000,0.000,9.898,9.867,OFF,Mostly clear; Below controller ON threshold; Ceff=1.42x
