No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
1,08:00:00,28.620,30.720,28.690,31.090,29.660,30.200,0.000,18.320,18.280,0.476,0.663,446.500,617.000,1.382,8.722,12.129,0.520,0.725,22.193,22.149,0.756,0.755,8.720,12.120,0.189,10.334,10.393,0.018,4155.000,0.000,0.000,10.334,10.393,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.38x
2,08:00:30,28.650,32.060,30.030,33.020,31.590,30.210,0.000,18.240,18.165,0.478,0.666,448.300,619.900,1.383,8.711,12.093,0.522,0.728,22.106,22.023,0.755,0.754,8.719,12.098,0.189,10.290,10.326,0.018,4155.000,0.000,0.000,10.290,10.326,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.38x
3,08:01:00,28.680,33.320,31.270,34.720,33.290,30.210,0.000,18.166,18.064,0.478,0.667,449.500,622.000,1.384,8.691,12.051,0.523,0.729,22.024,21.912,0.755,0.754,8.683,12.049,0.189,10.221,10.249,0.018,4155.000,0.000,0.000,10.221,10.249,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.38x
4,08:01:30,28.710,34.480,32.440,36.220,34.790,30.220,0.000,18.096,17.975,0.479,0.668,450.300,623.400,1.385,8.664,12.005,0.523,0.730,21.948,21.814,0.755,0.754,8.668,12.007,0.189,10.185,10.191,0.018,4155.000,0.000,0.000,10.185,10.191,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.38x
5,08:02:00,28.730,35.560,33.520,37.540,36.110,30.230,0.000,18.032,17.896,0.479,0.668,450.700,624.500,1.386,8.635,11.961,0.523,0.730,21.878,21.728,0.755,0.754,8.637,11.955,0.189,10.140,10.128,0.018,4155.000,0.000,0.000,10.140,10.128,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.39x
6,08:02:30,28.760,36.560,34.520,38.700,37.270,30.230,0.000,17.973,17.827,0.479,0.669,451.200,625.500,1.386,8.609,11.924,0.524,0.731,21.812,21.653,0.753,0.753,8.609,11.926,0.189,10.095,10.088,0.018,4155.000,0.000,0.000,10.095,10.088,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.39x
7,08:03:00,28.780,37.480,35.440,39.720,38.290,30.240,0.000,17.918,17.767,0.479,0.670,451.800,626.900,1.387,8.590,11.900,0.524,0.732,21.752,21.586,0.754,0.753,8.583,11.904,0.189,10.051,10.047,0.018,4155.000,0.000,0.000,10.051,10.047,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.39x
8,08:03:30,28.810,38.330,36.310,40.610,39.190,30.240,0.000,17.867,17.713,0.480,0.671,453.000,628.900,1.388,8.581,11.894,0.525,0.734,21.696,21.528,0.753,0.753,8.576,11.885,0.189,10.017,9.999,0.018,4155.000,0.000,0.000,10.017,9.999,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.39x
9,08:04:00,28.840,39.130,37.110,41.390,39.980,30.250,0.000,17.819,17.666,0.482,0.674,454.700,631.700,1.389,8.586,11.908,0.527,0.737,21.644,21.476,0.753,0.752,8.589,11.907,0.189,9.994,9.973,0.018,4155.000,0.000,0.000,9.994,9.973,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.39x
10,08:04:30,28.860,39.870,37.860,42.090,40.690,30.260,0.000,17.775,17.625,0.484,0.678,457.000,635.300,1.390,8.603,11.942,0.529,0.741,21.595,21.431,0.753,0.752,8.603,11.950,0.189,9.960,9.952,0.018,4155.000,0.000,0.000,9.960,9.952,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.39x
11,08:05:00,28.880,40.560,38.570,42.710,41.320,30.260,0.000,17.733,17.587,0.487,0.682,459.800,639.700,1.391,8.631,11.993,0.532,0.745,21.550,21.390,0.753,0.753,8.636,11.994,0.189,9.938,9.921,0.018,4155.000,0.000,0.000,9.938,9.921,OFF,Intermittent thin clouds; Below controller ON threshold; Ceff=1.39x
