No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg°K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
1,08:00:00,28.400,30.480,28.480,30.910,29.510,30.060,0.000,18.333,18.290,0.481,0.677,451.200,629.800,1.396,8.822,12.389,0.526,0.740,22.208,22.160,0.755,0.756,8.818,12.382,0.189,10.341,10.403,0.018,4155.000,0.000,0.000,10.341,10.403
2,08:00:30,28.430,31.840,29.830,32.870,31.460,30.080,0.000,18.253,18.173,0.484,0.682,454.600,635.000,1.397,8.840,12.394,0.529,0.745,22.119,22.032,0.755,0.755,8.834,12.394,0.189,10.282,10.327,0.018,4155.000,0.000,0.000,10.282,10.327
3,08:01:00,28.460,33.130,31.100,34.610,33.190,30.090,0.000,18.176,18.070,0.487,0.686,457.700,639.800,1.398,8.856,12.401,0.532,0.750,22.036,21.919,0.755,0.754,8.852,12.396,0.189,10.233,10.251,0.018,4155.000,0.000,0.000,10.233,10.251
4,08:01:30,28.490,34.330,32.300,36.150,34.730,30.110,0.000,18.105,17.979,0.490,0.690,460.400,644.000,1.399,8.865,12.405,0.535,0.754,21.957,21.819,0.755,0.754,8.871,12.406,0.189,10.195,10.192,0.018,4155.000,0.000,0.000,10.195,10.192
5,08:02:00,28.530,35.460,33.420,37.520,36.090,30.120,0.000,18.038,17.897,0.491,0.693,462.500,647.300,1.400,8.865,12.400,0.537,0.757,21.884,21.730,0.754,0.754,8.857,12.403,0.189,10.132,10.138,0.018,4155.000,0.000,0.000,10.132,10.138
6,08:02:30,28.560,36.500,34.460,38.720,37.290,30.140,0.000,17.976,17.826,0.493,0.695,463.900,649.800,1.401,8.855,12.386,0.538,0.759,21.816,21.651,0.754,0.754,8.862,12.389,0.189,10.108,10.088,0.018,4155.000,0.000,0.000,10.108,10.088
7,08:03:00,28.590,37.470,35.430,39.780,38.350,30.150,0.000,17.919,17.763,0.493,0.696,464.900,651.500,1.402,8.838,12.365,0.539,0.761,21.753,21.582,0.754,0.753,8.834,12.363,0.189,10.054,10.040,0.018,4155.000,0.000,0.000,10.054,10.040
8,08:03:30,28.620,38.360,36.320,40.710,39.280,30.160,0.000,17.865,17.707,0.494,0.697,465.500,652.800,1.402,8.817,12.341,0.539,0.762,21.695,21.521,0.754,0.753,8.825,12.342,0.189,10.031,10.003,0.018,4155.000,0.000,0.000,10.031,10.003
9,08:04:00,28.650,39.180,37.150,41.530,40.100,30.180,0.000,17.816,17.659,0.494,0.698,466.000,653.900,1.403,8.796,12.321,0.540,0.763,21.641,21.468,0.753,0.752,8.801,12.326,0.189,9.993,9.974,0.018,4155.000,0.000,0.000,9.993,9.974
10,08:04:30,28.680,39.950,37.920,42.240,40.830,30.190,0.000,17.771,17.616,0.494,0.699,466.600,655.300,1.404,8.781,12.310,0.540,0.764,21.591,21.421,0.753,0.752,8.779,12.314,0.189,9.955,9.942,0.018,4155.000,0.000,0.000,9.955,9.942
